Customer_ID,Age,Location,Income_Level,Total_Transactions,Avg_Transaction_Value,Max_Transaction_Value,Min_Transaction_Value,Total_Spent,Active_Days,Last_Transaction_Days_Ago,Loyalty_Points_Earned,Referral_Count,Cashback_Received,App_Usage_Frequency,Preferred_Payment_Method,Support_Tickets_Raised,Issue_Resolution_Time,Customer_Satisfaction_Score,LTV
cust_0000,54,Urban,Low,192,16736.38402319893,60216.83450988285,6525.814860765247,3213385.7324541947,140,72,2114,25,2224.012139843342,Monthly,Debit Card,3,61.5685897275328,1,327954.5671754978
cust_0001,67,Suburban,High,979,14536.734682848608,48350.10027249861,2186.742245256916,14231463.254508788,229,135,2960,20,4026.823517968521,Monthly,UPI,17,60.39288882305327,8,1437052.9136918946
cust_0002,44,Urban,High,329,7061.372800216672,32521.157187328816,2743.4068078554915,2323191.651271285,73,52,3170,0,1441.0113951196197,Monthly,Debit Card,11,45.30557864380429,4,241938.6594295687
cust_0003,30,Rural,High,71,16426.876453277957,17827.896720459485,4360.78499399125,1166308.228182735,299,41,4756,35,4365.855580278985,Weekly,Wallet Balance,6,22.030190573561843,1,128459.895028134
cust_0004,58,Urban,Middle,878,10800.09265965521,17497.634533762135,4532.872520080136,9482481.355177276,236,24,1992,18,4161.523826857257,Daily,UPI,18,20.63472262811237,5,956951.3736042988
cust_0005,23,Rural,Middle,741,6093.162426833666,21310.858875721973,2069.6422422669384,4515033.358283747,195,197,3231,5,2597.3933580831044,Daily,UPI,6,17.234536903041597,10,467166.6391493332
cust_0006,36,Rural,Low,946,8751.162614596664,11055.45037444116,2117.4387456604577,8278599.833408444,88,235,4123,46,3525.2797992637256,Weekly,Wallet Balance,1,11.399603542328885,8,846943.3434412127
cust_0007,54,Urban,Low,63,1324.6977189931674,4742.261440504426,239.4613423265261,83455.95629656955,97,9,2513,17,4820.140805042069,Daily,Credit Card,13,28.87279519669633,8,20661.52522713592
cust_0008,34,Rural,Low,297,18898.72464813077,93293.2576686205,8057.842943560303,5612921.22049484,166,73,1861,36,2260.2271996373142,Monthly,Credit Card,3,61.779425061299584,10,577484.0084496654
cust_0009,38,Urban,High,245,12386.137182863284,55926.28786909365,4014.0629902433,3034603.6098015043,296,13,1221,7,2471.024373351352,Daily,UPI,10,71.72823524768282,3,308366.8487934748
cust_0010,26,Urban,High,519,14627.37055716215,49201.61382203565,7240.361620408051,7591605.319167156,203,303,2313,10,3614.01876086908,Daily,UPI,13,50.24522231523789,4,766979.5225362811
cust_0011,26,Rural,High,393,13534.901574693333,61934.44676190483,3375.5431144247345,5319216.31885448,187,80,769,4,1932.1328032820588,Monthly,Debit Card,5,12.086766070246073,10,542893.565483807
cust_0012,39,Rural,High,772,13358.322190574405,19570.91189104325,4999.855536742623,10312624.73112344,275,257,3562,20,4806.148623403586,Monthly,UPI,2,48.82297666772092,4,1041983.3988006422
cust_0013,68,Suburban,Low,601,355.04710008982937,1000.798478828182,123.95700776884652,213383.3071539875,20,21,1432,39,202.17884943206369,Monthly,Debit Card,15,20.550447528996443,3,31001.24129068272
cust_0014,51,Rural,Middle,177,10512.171882899083,28537.439928939464,3732.164595258812,1860654.423273138,73,351,1957,42,2016.8894789551807,Weekly,Debit Card,19,51.95204214612175,6,199170.99758783623
cust_0015,55,Suburban,Middle,204,16435.987470224427,38555.3807670406,6488.796132188245,3352941.443925783,338,343,2304,20,3569.255335200812,Daily,Credit Card,15,17.776296099375873,3,343117.51672497793
cust_0016,39,Rural,High,646,899.9318397178829,900.6568180919858,140.06837210180836,581355.9684577524,361,30,1359,19,2146.903129107822,Weekly,UPI,2,12.64861479995202,6,67680.14528122132
cust_0017,18,Urban,Middle,594,19123.75202092653,87283.024002411,6116.87776097352,11359508.70043036,310,289,4953,41,1296.2430465184416,Weekly,Debit Card,15,46.04765944578506,5,1154308.7485197769
cust_0018,37,Rural,Middle,1000,8488.952063289724,34896.60859485222,2577.6861527196743,8488952.063289724,82,99,1256,8,2067.27078778894,Monthly,UPI,17,49.645737778001546,2,853173.570935078
cust_0019,68,Urban,Middle,533,5805.01088610691,20964.39082664085,1375.856750405288,3094070.802294983,296,0,72,1,4407.583988023499,Daily,Debit Card,7,14.11881505852776,8,315447.2882354866
cust_0020,17,Urban,High,911,10641.109019222436,16130.510000383534,2920.5599158398886,9694050.31651164,356,64,1182,48,2735.0362627038394,Weekly,Credit Card,9,37.35256947557285,7,982201.513519812
cust_0021,39,Urban,Low,128,16026.271614982294,40271.14440986524,4928.476464516397,2051362.7667177336,27,38,482,3,1675.550964141666,Monthly,Debit Card,2,63.5260936799672,7,212562.5011897025
cust_0022,59,Suburban,Low,195,9500.353684755066,44626.08726620331,2169.585567476024,1852568.968527238,141,46,1239,25,3357.614920881171,Weekly,Credit Card,13,49.62198567649472,6,194556.0893922832
cust_0023,45,Rural,Middle,194,12905.662474961971,44753.20349031861,2803.9298225303783,2503698.5201426228,47,4,2242,11,3059.2253046202723,Daily,Wallet Balance,14,48.98749773129381,9,263424.2393619522
cust_0024,53,Urban,Low,184,10003.28861345853,34147.64761054528,3954.390317261948,1840605.1048763688,112,20,3383,18,2802.234076965991,Monthly,Credit Card,1,52.37232543892839,4,195225.39344915395
cust_0025,17,Urban,Low,247,12629.132410256772,58757.118089980046,1600.9604750481135,3119395.705333423,235,79,402,18,1955.7863537259057,Weekly,Credit Card,15,25.851556195777043,5,318565.67735647934
cust_0026,36,Suburban,High,873,2769.237994780765,8970.48928178764,623.5914986605678,2417544.769443608,151,55,764,18,361.0015381057463,Daily,Credit Card,12,15.622151161355944,9,253901.9761753079
